date,source,metric,value
2026-07-08,github,repo_count_vibe-coding,4775
2026-07-08,github,repo_count_github-copilot,2146
2026-07-08,github,repo_count_claude-code,44352
2026-07-08,github,repo_count_codex,14313
2026-07-08,github,repo_count_cursor-ide,362
2026-07-08,stackoverflow,total_questions_vibe-coding,0
2026-07-08,stackoverflow,weekly_new_questions_vibe-coding,0
2026-07-08,stackoverflow,total_questions_github-copilot,488
2026-07-08,stackoverflow,weekly_new_questions_github-copilot,1
2026-07-08,stackoverflow,total_questions_chatgpt,2872
2026-07-08,stackoverflow,weekly_new_questions_chatgpt,1
2026-07-08,stackoverflow,total_questions_claude-code,43
2026-07-08,stackoverflow,weekly_new_questions_claude-code,2
2026-07-08,stackoverflow,total_questions_codex,88
2026-07-08,stackoverflow,weekly_new_questions_codex,0
2026-07-08,stackoverflow,total_questions_cursor-ide,69
2026-07-08,stackoverflow,weekly_new_questions_cursor-ide,0
2026-07-08,google_trends,interest_vibe_coding,53
2026-07-08,google_trends,interest_github_copilot,32
2026-07-08,google_trends,interest_claude_code,55
2026-07-08,google_trends,interest_chatgpt_codex,33
2026-07-08,google_trends,interest_cursor_ai,30
